ダウンロードした時刻：2019/01/25 15:15:10

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,品質情報,均質番号,,品質情報,均質番号
2009,4,18,曇,8,1,薄曇,8,1
2009,4,19,晴一時薄曇,8,1,晴,8,1
2009,4,20,曇一時晴,8,1,曇後一時雨,8,1
2009,4,21,曇後雨,8,1,雨後曇,8,1
2009,4,22,晴後時々曇,8,1,晴時々曇,8,1
2009,4,23,晴,8,1,晴時々曇,8,1
2009,4,24,曇,8,1,雨時々曇,8,1
2009,4,25,大雨,8,1,雨後時々曇,8,1
2009,4,26,晴一時曇,8,1,快晴,8,1
2009,4,27,晴後一時曇,8,1,晴一時曇,8,1
2009,4,28,快晴,8,1,晴時々薄曇,8,1
2009,4,29,快晴,8,1,快晴,8,1
2009,4,30,快晴,8,1,快晴,8,1
2009,5,1,晴時々薄曇,8,1,晴,8,1
2009,5,2,快晴,8,1,晴後薄曇,8,1
2009,5,3,薄曇,8,1,薄曇,8,1
2009,5,4,薄曇,8,1,曇一時晴,8,1
2009,5,5,雨時々曇,8,1,雨,8,1
2009,5,6,雨時々曇,8,1,雨一時曇,8,1
2009,5,7,雨,8,1,雨,8,1
2009,5,8,雨時々曇、雷を伴う,8,1,晴一時雨,8,1
2009,5,9,晴時々薄曇,8,1,晴時々薄曇,8,1
2009,5,10,晴時々薄曇,8,1,薄曇,8,1
2009,5,11,薄曇,8,1,曇,8,1
2009,5,12,曇,8,1,雨時々曇,8,1
2009,5,13,曇後一時晴,8,1,曇後晴,8,1
2009,5,14,快晴,8,1,晴後一時薄曇,8,1
2009,5,15,薄曇一時晴,8,1,曇後一時晴,8,1
2009,5,16,曇一時雨,8,1,雨時々曇,8,1
2009,5,17,雨後曇,8,1,薄曇一時雨,8,1
2009,5,18,薄曇時々晴,8,1,薄曇,8,1
2009,5,19,薄曇,8,1,晴時々薄曇,8,1
2009,5,20,快晴,8,1,快晴,8,1
2009,5,21,薄曇一時晴,8,1,曇後一時雨,8,1
2009,5,22,晴時々曇,8,1,曇一時晴後時々雨,8,1
2009,5,23,曇,8,1,曇後一時雨,8,1
2009,5,24,雨時々曇,8,1,曇時々大雨、雷を伴う,8,1
2009,5,25,曇後晴,8,1,晴,8,1
2009,5,26,薄曇時々晴,8,1,薄曇,8,1
2009,5,27,薄曇時々晴,8,1,曇後一時雨,8,1
2009,5,28,雨,8,1,大雨,8,1
2009,5,29,雨後一時曇,8,1,雨時々曇,8,1
2009,5,30,雨後曇,8,1,曇,8,1
2009,5,31,雨時々曇,8,1,曇後霧雨,8,1
2009,6,1,曇時々雨後一時晴,8,1,快晴,8,1
2009,6,2,薄曇一時晴,8,1,薄曇,8,1
2009,6,3,曇,8,1,曇一時雨,8,1
2009,6,4,曇,8,1,曇,8,1
2009,6,5,雨時々曇,8,1,雨一時曇,8,1
2009,6,6,雨後曇,8,1,晴時々曇,8,1
2009,6,7,晴,8,1,曇後一時雨,8,1
2009,6,8,曇時々雨,8,1,曇一時雨,8,1
2009,6,9,曇,8,1,曇,8,1
2009,6,10,曇,8,1,曇後雨,8,1
2009,6,11,雨後薄曇時々晴,8,1,晴後薄曇,8,1
2009,6,12,薄曇後時々晴,8,1,薄曇時々晴,8,1
2009,6,13,曇後一時晴,8,1,曇,8,1
2009,6,14,曇,8,1,雨後曇,8,1
2009,6,15,曇,8,1,大雨後曇、雷を伴う,8,1
2009,6,16,曇後一時雨,8,1,雨後曇、雷を伴う,8,1
2009,6,17,曇後一時晴,8,1,曇後時々雨,8,1
2009,6,18,曇後時々雨,8,1,曇後一時晴,8,1
2009,6,19,曇後晴,8,1,曇,8,1
2009,6,20,薄曇時々晴,8,1,曇後雨,8,1
