ダウンロードした時刻：2019/01/25 15:15:10

,,,東京,東京,東京,東京,東京,東京
年,月,日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,品質情報,均質番号,,品質情報,均質番号
2009,6,21,雨後一時曇,8,1,雨後曇,8,1
2009,6,22,曇後時々雨,8,1,曇後一時雨,8,1
2009,6,23,曇後晴,8,1,薄曇後一時雨,8,1
2009,6,24,大雨後曇,8,1,曇,8,1
2009,6,25,曇後時々晴,8,1,薄曇一時晴,8,1
2009,6,26,薄曇,8,1,薄曇後晴,8,1
2009,6,27,晴後薄曇,8,1,薄曇,8,1
2009,6,28,曇後雨,8,1,曇時々雨後一時晴,8,1
2009,6,29,晴後薄曇,8,1,曇後雨,8,1
2009,6,30,曇時々雨,8,1,雨時々曇,8,1
2009,7,1,曇,8,1,曇後雨,8,1
2009,7,2,雨時々霧雨一時曇,8,1,曇,8,1
2009,7,3,曇,8,1,雨,8,1
2009,7,4,曇後一時晴,8,1,曇,8,1
2009,7,5,曇,8,1,晴後曇一時雨,8,1
2009,7,6,雨時々曇,8,1,曇後一時晴,8,1
2009,7,7,薄曇,8,1,曇時々晴,8,1
2009,7,8,雨時々曇,8,1,曇時々雨,8,1
2009,7,9,曇時々雨,8,1,曇,8,1
2009,7,10,曇,8,1,曇,8,1
2009,7,11,曇,8,1,薄曇後一時晴,8,1
2009,7,12,曇後晴,8,1,晴後曇,8,1
2009,7,13,曇後時々晴,8,1,薄曇時々晴,8,1
2009,7,14,曇時々晴,8,1,曇,8,1
2009,7,15,薄曇時々晴,8,1,晴後一時曇,8,1
2009,7,16,晴時々薄曇,8,1,曇時々雨,8,1
2009,7,17,曇一時雨,8,1,曇後時々雨,8,1
2009,7,18,曇時々雨,8,1,曇一時雨後時々晴,8,1
2009,7,19,曇一時雨,8,1,晴時々曇一時雨,8,1
2009,7,20,曇後一時晴,8,1,曇,8,1
2009,7,21,雨一時曇,8,1,雨時々曇,8,1
2009,7,22,雨時々曇,8,1,曇時々雨,8,1
2009,7,23,曇時々雨,8,1,雨時々曇,8,1
2009,7,24,雨時々曇、雷を伴う,8,1,雨後時々曇,8,1
2009,7,25,曇後晴,8,1,薄曇時々晴,8,1
2009,7,26,晴,8,1,晴後一時曇,8,1
2009,7,27,曇時々雨一時晴,8,1,曇時々雨、雷を伴う,8,1
2009,7,28,曇後時々雨,8,1,曇時々雨,8,1
2009,7,29,曇,8,1,曇一時晴,8,1
2009,7,30,薄曇後晴,8,1,曇後雨,8,1
2009,7,31,雨後曇,8,1,曇時々晴,8,1
2009,8,1,曇後一時晴,8,1,曇,8,1
2009,8,2,雨時々曇,8,1,曇時々雨,8,1
2009,8,3,曇一時晴,8,1,曇後一時霧雨,8,1
2009,8,4,曇時々雨後一時晴,8,1,晴後曇,8,1
2009,8,5,曇一時晴,8,1,曇後一時雨,8,1
2009,8,6,曇時々雨,8,1,曇一時晴,8,1
2009,8,7,曇一時晴,8,1,雨後曇時々晴、雷を伴う,8,1
2009,8,8,曇,8,1,曇,8,1
2009,8,9,曇後一時雨、雷を伴う,8,1,曇後時々雨,8,1
2009,8,10,大雨後曇,8,1,曇後一時晴,8,1
2009,8,11,曇時々雨一時晴,8,1,曇後一時晴,8,1
2009,8,12,晴時々曇,8,1,曇一時晴後時々雨,8,1
2009,8,13,曇一時雨後晴,8,1,晴後一時曇,8,1
2009,8,14,曇後一時晴,8,1,晴,8,1
2009,8,15,晴,8,1,晴後曇,8,1
2009,8,16,晴,8,1,晴後曇,8,1
2009,8,17,晴,8,1,曇時々晴,8,1
2009,8,18,曇時々晴,8,1,曇後一時晴,8,1
2009,8,19,薄曇一時晴,8,1,薄曇一時晴,8,1
2009,8,20,薄曇時々晴,8,1,薄曇,8,1
2009,8,21,曇後時々晴,8,1,曇,8,1
2009,8,22,曇後時々晴,8,1,曇後時々晴,8,1
2009,8,23,曇時々晴後一時雨,8,1,晴後曇,8,1
2009,8,24,曇時々晴一時雨、雷を伴う,8,1,曇後時々雨,8,1
2009,8,25,晴時々曇,8,1,曇,8,1
2009,8,26,曇後一時晴,8,1,晴,8,1
2009,8,27,晴,8,1,晴後一時曇,8,1
2009,8,28,晴,8,1,晴時々薄曇,8,1
2009,8,29,晴時々曇,8,1,曇後一時晴,8,1
2009,8,30,雨時々曇一時晴,8,1,雨一時曇,8,1
2009,8,31,大雨,8,1,曇一時雨,8,1
2009,9,1,晴時々曇,8,1,曇時々雨,8,1
2009,9,2,曇一時雨,8,1,曇,8,1
2009,9,3,曇,8,1,曇,8,1
2009,9,4,曇,8,1,雨時々曇後晴,8,1
2009,9,5,晴一時曇,8,1,晴時々曇,8,1
2009,9,6,晴,8,1,晴時々曇,8,1
2009,9,7,晴,8,1,曇時々晴一時雨,8,1
2009,9,8,曇時々晴,8,1,曇一時晴,8,1
2009,9,9,曇時々雨,8,1,晴時々曇一時雨,8,1
2009,9,10,晴時々薄曇,8,1,曇時々晴,8,1
2009,9,11,薄曇,8,1,曇,8,1
2009,9,12,雨時々曇,8,1,大雨後曇,8,1
2009,9,13,曇後晴,8,1,晴時々薄曇,8,1
2009,9,14,晴後時々薄曇,8,1,曇,8,1
2009,9,15,曇一時雨,8,1,雨時々曇,8,1
2009,9,16,晴一時曇,8,1,曇後一時晴,8,1
2009,9,17,晴,8,1,晴後一時薄曇,8,1
2009,9,18,曇後一時雨,8,1,曇,8,1
2009,9,19,曇,8,1,曇後一時晴,8,1
2009,9,20,快晴,8,1,晴後曇,8,1
2009,9,21,曇,8,1,曇後一時雨,8,1
2009,9,22,曇一時晴,8,1,曇,8,1
2009,9,23,曇一時晴,8,1,曇後一時晴,8,1
2009,9,24,晴,8,1,快晴,8,1
2009,9,25,晴,8,1,曇時々晴,8,1
2009,9,26,曇後晴,8,1,晴後曇一時雨,8,1
2009,9,27,曇後一時晴,8,1,曇,8,1
2009,9,28,曇時々晴,8,1,曇後雨,8,1
2009,9,29,曇時々雨,8,1,雨,8,1
2009,9,30,雨,8,1,雨後曇,8,1
2009,10,1,曇後晴,8,1,曇時々雨一時晴,8,1
